dst,reflex18,reflex19,reflex20,reflex21,reflex22,reflex23
13135,3.4908334548144193,3.3736946707812536,3.3113643833934976,3.5409824485261523,3.567805407205028,4.1068625235649705
13137,3.687294076915685,3.453388792869071,3.3419832991811402,3.559769205366054,3.6166177243985285,4.254899606896445
13139,3.4786002472284534,3.2914649599637116,3.2111575979870963,3.396192185728916,3.4562163942827815,4.112076028686686
13141,3.9812578668424394,3.7329148556975795,3.762886439881143,3.827076976053795,3.871716527914772,4.304536050312856
13143,3.9529201142695953,3.6655920521658603,3.4233579393821656,3.4869075835790913,3.4496192240733317,4.543093392096072
13145,3.511471808750944,3.2767657411012037,3.1588761824848195,3.420774061063532,3.4958880125805742,4.130592294977607
13147,3.5478125063671264,3.2362900457881545,3.127304978802847,3.223184285641488,3.3150631888038222,4.1113322796756355
13149,2.815552573504555,2.588706924860765,2.5804842207812912,2.6445723208544334,2.7236333726735915,3.4467233104477133
13151,3.820614263621474,3.776437961968004,3.7314244309841698,4.184604400627074,4.177726160211544,4.6234237626498995
13153,4.228628913297405,4.025054388104412,3.8187742187504434,4.093589636917391,4.095942411268616,4.7080060914132424
13155,3.0004593175056264,2.7334254402577693,2.627081900407258,2.7054853975072857,2.7929098344968226,3.6337292610256817
13157,3.845600696597009,3.627262873782397,3.5775930888520797,3.751219621414413,3.776881490579881,4.62617805781385
13159,3.491740335122477,3.308492467341573,3.1789996155773834,3.4141341572878248,3.5014358453621712,4.112666112481966
13161,3.8902368128463727,3.5962243612278053,3.481162748361976,3.647823546804117,3.7557958285165984,4.406281060169055
13163,3.7224233591367413,3.5387097541964057,3.42818239854645,3.8384044405727633,3.936144784325046,4.355048427330279
13165,3.2425450570324643,3.0956306001651424,2.9821136755238884,3.2230537142055664,3.2889139387445283,3.857791747597555
13167,3.1388821862209837,2.870182664752999,2.7140292810641755,2.999418733795085,3.1726770255994086,3.8410923786417923
13169,3.2699699677447196,3.0003481072843754,2.9134954859630717,3.0264425085775066,3.157597651700297,3.755016477627131
13171,3.292471929362446,3.071914015595433,3.0449992224609312,3.128623863593109,3.2451575603544978,4.010806394391736
13173,2.877610307204095,2.663185947140113,2.5779582357617894,2.820415134515442,2.8860223950939865,3.441901490164449
13175,4.606873718136261,4.373050106906768,4.158243805245419,4.321182857192397,4.351466705369495,4.89018261538444
13177,3.0945771822980572,2.9285774766506765,2.897671071588303,3.1775063434478024,3.2927834705517354,3.9433431549507154
13179,3.9506952469860885,3.644461516225976,3.4727508578891793,3.8701469437409335,3.9589284598830545,4.66209891620073
13181,3.3589261382932323,3.1723563176981897,3.147747300919715,3.330122309481833,3.4236435232185354,3.980116169130333
13183,2.8959776057759,2.6748303406379277,2.7443402417418397,2.9577060701660196,3.0357560209954495,3.6510248214136656
13185,4.880722207786445,4.671328084004934,4.396508522087874,4.643644011015779,4.697135213124117,5.203536712192344
13187,3.780564814926486,3.5941570240925764,3.5673498425311694,3.7252656767067958,3.7899189305091103,4.361665297227488
13189,3.9787855892672055,3.7443149268714055,3.5158261633215506,3.8444656231996848,3.904465819169331,4.478673322448091
